18:06:48.896 WindowManager                  trimMemory level: 15
18:07:10.340 WM-StopWorkRunnable            StopWorkRunnable for fb56c17e-93a8-4a9e-8c79-1001cafb8e30; Processor.stopWork = false
18:07:10.353 LogUtil                        [ПРОЦЕСС] Добавлен результат в батч auto_batch_1_1776611217325: IMG_20260419_180632.jpg (2)
18:07:10.359 WM-Processor                   Moving WorkSpec (31f131d9-4588-496b-a856-bc97c07399c4) to the foreground
18:07:10.365 LogUtil                        [ПРОЦЕСС] URI удален из отслеживаемых: content://media/external/images/media/265831
18:07:10.365                                [ПРОЦЕСС] URI добавлен в список недавно обработанных: content://media/external/images/media/265831
18:07:10.789 WM-SystemJobService            onStopJob for WorkGenerationalId(workSpecId=fb56c17e-93a8-4a9e-8c79-1001cafb8e30, generation=0)
18:07:10.937 LogUtil                        [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265820
18:07:10.937                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:07:10.937                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265820 из ImageCompressionWorker
18:07:10.997                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265821
18:07:10.997                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:07:10.997                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265821 из ImageCompressionWorker
18:07:10.997                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265850 -> true
18:07:10.998                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265850 из ImageProcessingUtil
18:07:10.998                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265850 -> true
18:07:10.999 WM-SystemFgDispatcher          Notifying with (id:1, workSpecId: 31f131d9-4588-496b-a856-bc97c07399c4, notificationType :1)
18:07:11.008 WM-SystemJobService            onStartJob for WorkGenerationalId(workSpecId=0d67a6f8-06a7-4db3-a064-231075bdb57e, generation=0)
18:07:11.009 WM-WorkerWrapper               Worker result SUCCESS for Work [ id=31f131d9-4588-496b-a856-bc97c07399c4, tags={ com.compressphotofast.worker.ImageCompressionWorker,compress_80979343 } ]
18:07:11.012 WM-Processor                   Processor 31f131d9-4588-496b-a856-bc97c07399c4 executed; reschedule = false
18:07:11.012 WM-SystemJobService            31f131d9-4588-496b-a856-bc97c07399c4 executed on JobScheduler
18:07:11.012 WM-SystemFgDispatcher          Removing Notification (id: 1, workSpecId: WorkGenerationalId(workSpecId=31f131d9-4588-496b-a856-bc97c07399c4, generation=0), notificationType: 1
18:07:11.012 NotificationManager            com.compressphotofast: cancel(1)
18:07:11.013 WM-Processor                   Work WorkGenerationalId(workSpecId=0d67a6f8-06a7-4db3-a064-231075bdb57e, generation=0) is already enqueued for processing
18:07:11.015 WM-GreedyScheduler             Cancelling work ID 31f131d9-4588-496b-a856-bc97c07399c4
18:07:11.027 LogUtil                        [ПРОЦЕСС] Начато отслеживание URI: content://media/external/images/media/265820
18:07:11.027                                [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:07:11.028 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265643
18:07:11.105 LogUtil                        [ПРОЦЕСС] Начато отслеживание URI: content://media/external/images/media/265821
18:07:11.109                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265845
18:07:11.158                                [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:07:11.158 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265643
18:07:11.160 LogUtil                        [URI:5820] Сжатие изображения в поток
18:07:11.160 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265820
18:07:11.163 LogUtil                        [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265838, обработка через 10 сек
18:07:11.163                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265838 отменена
18:07:11.173                                [URI:5821] Сжатие изображения в поток
18:07:11.173 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265821
18:07:11.176 LogUtil                        [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265841
18:07:11.176                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:07:11.177                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265841 из ImageCompressionWorker
18:07:11.190 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265850
18:07:11.195 LogUtil                        [ПРОЦЕСС] Используется существующий автобатч: auto_batch_1_1776611217325
18:07:11.196                                [СЖАТИЕ:5845] Запущена работа по сжатию для content://media/external/images/media/265845 с тегом compress_80979378 в батче auto_batch_1_1776611217325
18:07:11.199                                [ПРОЦЕСС] Найден EXIF маркер с timestamp: 1776601780439 для URI: content://media/external/images/media/265643
18:07:11.202                                [ПРОЦЕСС] Начато отслеживание URI: content://media/external/images/media/265841
18:07:11.203                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265643
18:07:11.203                                [ПРОЦЕСС] Изображение не требует обработки: ALREADY_COMPRESSED
18:07:11.204                                [ПРОЦЕСС] Оптимизировано: content://media/external/images/media/265643
18:07:11.209 WM-SystemJobScheduler          Scheduling work ID 7b5bb6be-b209-4472-9b63-b61063b5243dJob ID 4623
18:07:11.214 WM-SystemJobService            onStartJob for WorkGenerationalId(workSpecId=7b5bb6be-b209-4472-9b63-b61063b5243d, generation=0)
18:07:11.216 WM-GreedyScheduler             Starting work for 7b5bb6be-b209-4472-9b63-b61063b5243d
18:07:11.218 WM-Processor                   Processor: processing WorkGenerationalId(workSpecId=7b5bb6be-b209-4472-9b63-b61063b5243d, generation=0)
18:07:11.218                                Work WorkGenerationalId(workSpecId=7b5bb6be-b209-4472-9b63-b61063b5243d, generation=0) is already enqueued for processing
18:07:11.221 WM-WorkerWrapper               Starting work for com.compressphotofast.worker.ImageCompressionWorker
18:07:11.223 LogUtil                        [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265845 -> true
18:07:11.236 WM-Processor                   Moving WorkSpec (7b5bb6be-b209-4472-9b63-b61063b5243d) to the foreground
18:07:11.240 WM-SystemFgDispatcher          Started foreground service Intent { act=ACTION_START_FOREGROUND cmp=com.compressphotofast/androidx.work.impl.foreground.SystemForegroundService (has extras) }
18:07:11.241                                Notifying with (id:1, workSpecId: 7b5bb6be-b209-4472-9b63-b61063b5243d, notificationType :1)
18:07:11.245 LogUtil                        [ПРОЦЕСС] Чтение EXIF данных из content://media/external/images/media/265845 в память (кэш не найден)
18:07:11.246 WM-SystemFgDispatcher          Notifying with (id:1, workSpecId: 7b5bb6be-b209-4472-9b63-b61063b5243d, notificationType :1)
18:07:11.328 LogUtil                        [ПРОЦЕСС] Найден EXIF маркер с timestamp: 1776601780439 для URI: content://media/external/images/media/265643
18:07:11.328                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265643
18:07:11.329                                [ПРОЦЕСС] Изображение не требует обработки: ALREADY_COMPRESSED
18:07:11.338                                [URI:5841] Сжатие изображения в поток
18:07:11.338 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265841
18:07:11.460 LogUtil                        [Сжатие] Размер изображения: 3000x4000, оценочный размер (ARGB_8888): 45MB
18:07:11.460                                [Bitmap decoding] inSampleSize = 1 (original: 3000x4000)
18:07:11.460                                [Сжатие] Оптимизированное декодирование: 3000x4000, inSampleSize=1
18:07:11.461                                [Сжатие] Оценочный размер: 22MB, экономия памяти: 50,0%
18:07:11.464                                [РАЗРЕШЕНИЯ] 📋 ДИАГНОСТИКА РАЗРЕШЕНИЙ для content://media/external/images/media/265845:
18:07:11.464                                [РАЗРЕШЕНИЯ]   - Android версия: 31 (12)
18:07:11.464                                [РАЗРЕШЕНИЯ]   - ACCESS_MEDIA_LOCATION: ✅ ПРЕДОСТАВЛЕНО
18:07:11.464                                [РАЗРЕШЕНИЯ]   - URI тип: MediaStore
18:07:11.464                                [ПРОЦЕСС] 🔍 GPS ИЗВЛЕЧЕНИЕ: Используем ExifInterface с поддержкой MediaStore.setRequireOriginal()
18:07:11.464                                [ПРОЦЕСС] 🔍 GPS результат: lat=55.75114059444444, lng=37.87966537472222
18:07:11.465                                [ПРОЦЕСС] ✅ GPS данные получены через ExifInterface: lat=55.75114059444444, lng=37.87966537472222
18:07:11.465                                [ПРОЦЕСС] 🕒 ПРОВЕРКА ДАТ: Проверяем наличие дат в EXIF и добавляем дату оцифровки при необходимости
18:07:11.465                                [ПРОЦЕСС] Найдена дата в теге DateTimeOriginal: 2026:04:19 18:06:34
18:07:11.465                                [ПРОЦЕСС] Даты уже присутствуют в EXIF, пропускаем добавление даты оцифровки
18:07:11.465                                [ПРОЦЕСС] Прочитано 39 EXIF-тегов, сохраняем в кэш
18:07:11.465                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265845 -> true
18:07:11.646                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265827, обработка через 10 сек
18:07:11.646                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265827 отменена
18:07:11.665                                [Сжатие] Размер изображения: 3000x4000, оценочный размер (ARGB_8888): 45MB
18:07:11.665                                [Bitmap decoding] inSampleSize = 1 (original: 3000x4000)
18:07:11.665                                [Сжатие] Оптимизированное декодирование: 3000x4000, inSampleSize=1
18:07:11.666                                [Сжатие] Оценочный размер: 22MB, экономия памяти: 50,0%
18:07:11.962                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265817, обработка через 10 сек
18:07:11.962                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265817 отменена
18:07:12.238                                [Сжатие] Размер изображения: 3000x4000, оценочный размер (ARGB_8888): 45MB
18:07:12.238                                [Bitmap decoding] inSampleSize = 1 (original: 3000x4000)
18:07:12.238                                [Сжатие] Оптимизированное декодирование: 3000x4000, inSampleSize=1
18:07:12.239                                [Сжатие] Оценочный размер: 22MB, экономия памяти: 50,0%
18:07:12.253 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265640
18:07:12.291 LogUtil                        [Сжатие] Валидация JPEG прошла: 3000x4000
18:07:12.300                                [СЖАТИЕ:5820] 4182KB → 893KB (-78%)
18:07:12.301                                [СЖАТИЕ:5820] 4182KB → 893KB (-78.642365%)
18:07:12.332 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265845
18:07:12.333                                provider != null. Start to getTypeAsync:content://media/external/images/media/265640
18:07:12.407 LogUtil                        [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:07:12.407 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265850
18:07:12.424 LogUtil                        [ПРОЦЕСС] [FileOperationsUtil] Режим замены включён, используем оригинальное имя: IMG_20260419_180630.jpg
18:07:12.570                                [Сжатие] Валидация JPEG прошла: 3000x4000
18:07:12.577                                [СЖАТИЕ:5821] 4090KB → 830KB (-79%)
18:07:12.577                                [СЖАТИЕ:5821] 4090KB → 830KB (-79.69208%)
18:07:12.873                                [ПРОЦЕСС] [FileOperationsUtil] Режим замены включён, используем оригинальное имя: IMG_20260419_180630_1.jpg
18:07:12.886                                [ПРОЦЕСС] MediaStoreObserver: начинаем обработку URI content://media/external/images/media/265854 после задержки
18:07:12.895                                [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:07:12.895 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265640
18:07:12.908 LogUtil                        [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265850
18:07:12.925                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265845
18:07:12.925                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:07:12.926                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265845 из ImageCompressionWorker
18:07:13.012                                [ПРОЦЕСС] Начато отслеживание URI: content://media/external/images/media/265845
18:07:13.014                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265854 -> true
18:07:13.014                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265854 из ImageProcessingUtil
18:07:13.014                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265854 -> true
18:07:13.017                                [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:07:13.017 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265640
18:07:13.020 LogUtil                        [Сжатие] Валидация JPEG прошла: 3000x4000
18:07:13.022                                [ПРОЦЕСС] Найден EXIF маркер с timestamp: 1776601780422 для URI: content://media/external/images/media/265640
18:07:13.022                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265640
18:07:13.023                                [ПРОЦЕСС] Изображение не требует обработки: ALREADY_COMPRESSED
18:07:13.023                                [ПРОЦЕСС] Оптимизировано: content://media/external/images/media/265640
18:07:13.025                                [СЖАТИЕ:5841] 3846KB → 633KB (-83%)
18:07:13.026                                [СЖАТИЕ:5841] 3846KB → 633KB (-83.54227%)
18:07:13.032                                [ПРОЦЕСС] Используется существующий автобатч: auto_batch_1_1776611217325
18:07:13.034                                [СЖАТИЕ:5850] Запущена работа по сжатию для content://media/external/images/media/265850 с тегом compress_80979404 в батче auto_batch_1_1776611217325
18:07:13.039 WM-SystemJobScheduler          Scheduling work ID 503a4eae-bd07-422b-b828-880cb09a47a2Job ID 4624
18:07:13.041 WM-GreedyScheduler             Starting work for 503a4eae-bd07-422b-b828-880cb09a47a2
18:07:13.043 WM-Processor                   Processor: processing WorkGenerationalId(workSpecId=503a4eae-bd07-422b-b828-880cb09a47a2, generation=0)
18:07:13.142 WM-WorkerWrapper               Starting work for com.compressphotofast.worker.ImageCompressionWorker
18:07:13.143 LogUtil                        [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265850 -> true
18:07:13.149 WM-Processor                   Moving WorkSpec (503a4eae-bd07-422b-b828-880cb09a47a2) to the foreground
18:07:13.160 LogUtil                        [ПРОЦЕСС] Чтение EXIF данных из content://media/external/images/media/265850 в память (кэш не найден)
18:07:13.333                                [URI:5845] Сжатие изображения в поток
18:07:13.334 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265845
18:07:13.352 WM-SystemFgDispatcher          Started foreground service Intent { act=ACTION_START_FOREGROUND cmp=com.compressphotofast/androidx.work.impl.foreground.SystemForegroundService (has extras) }
18:07:13.352                                Notifying with (id:1, workSpecId: 503a4eae-bd07-422b-b828-880cb09a47a2, notificationType :1)
18:07:13.356 LogUtil                        [ПРОЦЕСС] Найден EXIF маркер с timestamp: 1776601780422 для URI: content://media/external/images/media/265640
18:07:13.356                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265640
18:07:13.356 WM-SystemFgDispatcher          Notifying with (id:1, workSpecId: 503a4eae-bd07-422b-b828-880cb09a47a2, notificationType :1)
18:07:13.356 LogUtil                        [ПРОЦЕСС] Изображение не требует обработки: ALREADY_COMPRESSED
18:07:13.576                                [ПРОЦЕСС] [FileOperationsUtil] Режим замены включён, используем оригинальное имя: IMG_20260419_180633.jpg
18:07:13.638                                [РАЗРЕШЕНИЯ] 📋 ДИАГНОСТИКА РАЗРЕШЕНИЙ для content://media/external/images/media/265850:
18:07:13.638                                [РАЗРЕШЕНИЯ]   - Android версия: 31 (12)
18:07:13.638                                [РАЗРЕШЕНИЯ]   - ACCESS_MEDIA_LOCATION: ✅ ПРЕДОСТАВЛЕНО
18:07:13.639                                [РАЗРЕШЕНИЯ]   - URI тип: MediaStore
18:07:13.639                                [ПРОЦЕСС] 🔍 GPS ИЗВЛЕЧЕНИЕ: Используем ExifInterface с поддержкой MediaStore.setRequireOriginal()
18:07:13.639                                [ПРОЦЕСС] 🔍 GPS результат: lat=55.75114059444444, lng=37.87966537472222
18:07:13.639                                [ПРОЦЕСС] ✅ GPS данные получены через ExifInterface: lat=55.75114059444444, lng=37.87966537472222
18:07:13.639                                [ПРОЦЕСС] 🕒 ПРОВЕРКА ДАТ: Проверяем наличие дат в EXIF и добавляем дату оцифровки при необходимости
18:07:13.639                                [ПРОЦЕСС] Найдена дата в теге DateTimeOriginal: 2026:04:19 18:06:34
18:07:13.639                                [ПРОЦЕСС] Даты уже присутствуют в EXIF, пропускаем добавление даты оцифровки
18:07:13.639                                [ПРОЦЕСС] Прочитано 39 EXIF-тегов, сохраняем в кэш
18:07:13.640                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265850 -> true
18:07:13.654                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265820, обработка через 10 сек
18:07:13.654                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265820 отменена
18:07:13.923                                [Сжатие] Размер изображения: 3000x4000, оценочный размер (ARGB_8888): 45MB
18:07:13.924                                [Bitmap decoding] inSampleSize = 1 (original: 3000x4000)
18:07:13.924                                [Сжатие] Оптимизированное декодирование: 3000x4000, inSampleSize=1
18:07:13.925                                [Сжатие] Оценочный размер: 22MB, экономия памяти: 50,0%
18:07:14.110                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265821, обработка через 10 сек
18:07:14.110                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265821 отменена
18:07:14.173 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265854
18:07:14.556                                provider != null. Start to getTypeAsync:content://media/external/images/media/265637
18:07:14.558 LogUtil                        [ПРОЦЕСС] MediaStoreObserver: начинаем обработку URI content://media/external/images/media/265829 после задержки
18:07:14.625                                [ПРОЦЕСС] Сохранена исходная дата модификации: 1776611231000
18:07:14.738                                [Сжатие] Валидация JPEG прошла: 3000x4000
18:07:14.745                                [СЖАТИЕ:5845] 4058KB → 697KB (-82%)
18:07:14.745                                [СЖАТИЕ:5845] 4058KB → 697KB (-82.80695%)
18:07:14.775 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265850
18:07:14.779 LogUtil                        [ПРОЦЕСС] MediaStoreObserver: начинаем обработку URI content://media/external/images/media/265857 после задержки
18:07:15.170                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265825, обработка через 10 сек
18:07:15.170                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265825 отменена
18:07:15.172                                [EXIF] Ориентация установлена в NORMAL (изображение трансформировано)
18:07:15.172                                [ПРОЦЕСС] Применены GPS-данные через setLatLong API + reference теги: lat=55.75114059444444, lng=37.87966537472222
18:07:15.173                                [ПРОЦЕСС] Добавлен маркер сжатия: CompressPhotoFast_Compressed:80:1776611235172
18:07:15.174 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265637
18:07:15.271 LogUtil                        [ПРОЦЕСС] [FileOperationsUtil] Режим замены включён, используем оригинальное имя: IMG_20260419_180634.jpg
18:07:15.271                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265829 -> true
18:07:15.404                                [ПРОЦЕСС] Сохранена исходная дата модификации: 1776611231000
18:07:15.636                                [ПРОЦЕСС] Применено 35 EXIF-тегов к content://media/external/images/media/265834
18:07:15.659                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265857 -> true
18:07:15.660                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265857 из ImageProcessingUtil
18:07:15.660                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265857 -> true
18:07:15.660                                [ПРОЦЕСС] MediaStoreObserver: начинаем обработку URI content://media/external/images/media/265861 после задержки
18:07:15.663                                [EXIF] Ориентация установлена в NORMAL (изображение трансформировано)
18:07:15.664                                [ПРОЦЕСС] Применены GPS-данные через setLatLong API + reference теги: lat=55.751132965, lng=37.87967300388889
18:07:15.664                                [ПРОЦЕСС] Добавлен маркер сжатия: CompressPhotoFast_Compressed:80:1776611235664
18:07:15.672                                [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:07:15.672 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265854
18:07:16.117 LogUtil                        [ПРОЦЕСС] MediaStore.update() вернул 0 строк, пробуем fallback
18:07:16.135                                [ПРОЦЕСС] Применено 35 EXIF-тегов к content://media/external/images/media/265824
18:07:16.197                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265841, обработка через 10 сек
18:07:16.197                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265841 отменена
18:07:16.424                                [ПРОЦЕСС] Сохранена исходная дата модификации: 1776611232000
18:07:16.816                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265854
18:07:16.868                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265861 -> true
18:07:16.869                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265861 из ImageProcessingUtil
18:07:16.869                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265861 -> true
18:07:16.869                                [ПРОЦЕСС] MediaStore.update() вернул 0 строк, пробуем fallback
18:07:16.957                                [ПРОЦЕСС] EXIF-данные получены из кэша для content://media/external/images/media/265850
18:07:16.957                                [ПРОЦЕСС] PerformanceMonitor: Cache hit - EXIF
18:07:16.957                                [ПРОЦЕСС] URI добавлен (safe): content://media/external/images/media/265850 из ImageCompressionWorker
18:07:16.957                                [ПРОЦЕСС] Сохранена исходная дата модификации: 1776611232000
18:07:16.962                                [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:07:16.962 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265637
18:07:16.975 LogUtil                        [EXIF] Ориентация установлена в NORMAL (изображение трансформировано)
18:07:16.976                                [ПРОЦЕСС] Применены GPS-данные через setLatLong API + reference теги: lat=55.751132965, lng=37.87967300388889
18:07:16.976                                [ПРОЦЕСС] Добавлен маркер сжатия: CompressPhotoFast_Compressed:80:1776611236976
18:07:17.095                                [ПРОЦЕСС] DATE_MODIFIED восстановлен через File.setLastModified(): 1776611231000
18:07:17.095 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265834
18:07:17.370 LogUtil                        [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265824, обработка через 10 сек
18:07:17.370                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265824 отменена
18:07:17.382                                [ПРОЦЕСС] PerformanceMonitor: Cache miss - EXIF
18:07:17.382 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265637
18:07:17.383 LogUtil                        [EXIF] Ориентация установлена в NORMAL (изображение трансформировано)
18:07:17.383                                [ПРОЦЕСС] Применены GPS-данные через setLatLong API + reference теги: lat=55.75114059444444, lng=37.87966537472222
18:07:17.383                                [ПРОЦЕСС] Добавлен маркер сжатия: CompressPhotoFast_Compressed:80:1776611237383
18:07:17.384                                [ПРОЦЕСС] Начато отслеживание URI: content://media/external/images/media/265850
18:07:17.389                                [ПРОЦЕСС] Применено 35 EXIF-тегов к content://media/external/images/media/265825
18:07:17.396                                [ПРОЦЕСС] Сохранена исходная дата модификации: 1776611232000
18:07:17.397 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265857
18:07:17.461 LogUtil                        [ПРОЦЕСС] Используется существующий автобатч: auto_batch_1_1776611217325
18:07:17.465                                [СЖАТИЕ:5854] Запущена работа по сжатию для content://media/external/images/media/265854 с тегом compress_80979408 в батче auto_batch_1_1776611217325
18:07:17.471                                [URI:5850] Сжатие изображения в поток
18:07:17.471 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265850
18:07:17.472 WM-SystemJobScheduler          Scheduling work ID 9a603aa7-5999-41bc-8089-ddba08216c10Job ID 4625
18:07:17.472 LogUtil                        [ПРОЦЕСС] MediaStore.update() вернул 0 строк, пробуем fallback
18:07:17.472                                [ПРОЦЕСС] DATE_MODIFIED восстановлен через File.setLastModified(): 1776611231000
18:07:17.473 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265824
18:07:17.480 LogUtil                        [EXIF] Ориентация установлена в NORMAL (изображение трансформировано)
18:07:17.480                                [ПРОЦЕСС] Найден EXIF маркер с timestamp: 1776601780456 для URI: content://media/external/images/media/265637
18:07:17.481                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265637
18:07:17.482                                [ПРОЦЕСС] Изображение не требует обработки: ALREADY_COMPRESSED
18:07:17.482                                [ПРОЦЕСС] Применено 35 EXIF-тегов к content://media/external/images/media/265838
18:07:17.482                                [ПРОЦЕСС] Оптимизировано: content://media/external/images/media/265637
18:07:17.483 WM-GreedyScheduler             Starting work for 9a603aa7-5999-41bc-8089-ddba08216c10
18:07:17.484 LogUtil                        [ПРОЦЕСС] Применены GPS-данные через setLatLong API + reference теги: lat=55.751132965, lng=37.87967300388889
18:07:17.485                                [ПРОЦЕСС] Добавлен маркер сжатия: CompressPhotoFast_Compressed:80:1776611237484
18:07:17.489 WM-Processor                   Processor: processing WorkGenerationalId(workSpecId=9a603aa7-5999-41bc-8089-ddba08216c10, generation=0)
18:07:17.498 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265861
18:07:17.510 LogUtil                        [ПРОЦЕСС] Найден EXIF маркер с timestamp: 1776611235172 для URI: content://media/external/images/media/265834
18:07:17.510                                [ПРОЦЕСС] ✅ EXIF маркер успешно сохранен и верифицирован
18:07:17.511                                [ПРОЦЕСС] Применение EXIF данных из памяти: успешно
18:07:17.529                                [ПРОЦЕСС] MediaStore.update() вернул 0 строк, пробуем fallback
18:07:17.536                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265817, обработка через 10 сек
18:07:17.536                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265817 отменена
18:07:17.536 WM-WorkerWrapper               Starting work for com.compressphotofast.worker.ImageCompressionWorker
18:07:17.537 LogUtil                        [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265854 -> true
18:07:17.542 WM-Processor                   Moving WorkSpec (9a603aa7-5999-41bc-8089-ddba08216c10) to the foreground
18:07:17.545 LogUtil                        [ПРОЦЕСС] Найден EXIF маркер с timestamp: 1776601780456 для URI: content://media/external/images/media/265637
18:07:17.546                                [ПРОЦЕСС] EXIF-данные закэшированы для content://media/external/images/media/265637
18:07:17.546                                [ПРОЦЕСС] Изображение не требует обработки: ALREADY_COMPRESSED
18:07:17.547                                [ПРОЦЕСС] URI из кэша: content://media/external/images/media/265635 -> true
18:07:17.552                                [ПРОЦЕСС] Чтение EXIF данных из content://media/external/images/media/265854 в память (кэш не найден)
18:07:17.553                                [ПРОЦЕСС] Применено 35 EXIF-тегов к content://media/external/images/media/265827
18:07:17.649                                [ПРОЦЕСС] MediaStoreObserver: обнаружено изменение в MediaStore: content://media/external/images/media/265845, обработка через 10 сек
18:07:17.650                                [ПРОЦЕСС] MediaStoreObserver: предыдущая задача для content://media/external/images/media/265845 отменена
18:07:17.653 WM-SystemFgDispatcher          Started foreground service Intent { act=ACTION_START_FOREGROUND cmp=com.compressphotofast/androidx.work.impl.foreground.SystemForegroundService (has extras) }
18:07:17.655                                Notifying with (id:1, workSpecId: 9a603aa7-5999-41bc-8089-ddba08216c10, notificationType :1)
18:07:17.657 LogUtil                        [ПРОЦЕСС] DATE_MODIFIED восстановлен через File.setLastModified(): 1776611232000
18:07:17.657 ContentResolver                provider != null. Start to getTypeAsync:content://media/external/images/media/265825
